marca,model,varianta,eea_inregistrari,eea_masa_mediana,eea_putere_mediana,eea_co2_mediana,abatere_masa_pct,abatere_putere_pct,abatere_co2_pct,status
Honda,CR-V,e:HEV 2.0 184 AWD,221,1875.0,109.0,140.0,6.0,0.0,7.9,OK
Honda,CR-V,e:PHEV 2.0 184,2026,1988.0,109.0,18.0,-1.7,0.0,0.0,OK
Hyundai,Kona,1.6 GDI Hybrid 141,969,1485.0,69.0,106.0,-4.7,11.6,2.8,OK
Hyundai,Tucson,1.6 T-GDI Hybrid 215 2WD,3449,1650.0,118.0,142.0,10.6,11.9,-7.7,DE VERIFICAT manual
Hyundai,Tucson,1.6 T-GDI Hybrid 215 4WD,3449,1650.0,118.0,142.0,10.6,11.9,-1.4,DE VERIFICAT manual
Hyundai,Tucson,1.6 T-GDI PHEV 253 4WD,19684,1825.0,118.0,24.0,1.6,11.9,4.2,OK
Hyundai,Santa Fe,1.6 T-GDI Hybrid 215 2WD,130,2110.0,118.0,171.0,2.6,11.9,-17.0,DE VERIFICAT manual
Hyundai,Santa Fe,1.6 T-GDI PHEV 253 4WD,5320,2165.0,118.0,38.0,-3.7,11.9,0.0,OK
Hyundai,Ioniq,1.6 GDI Hybrid 141,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Hyundai,Ioniq,1.6 GDI PHEV 141,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Kia,Niro,1.6 GDI Hybrid 141,168,1594.0,75.0,54.0,-7.5,2.7,98.1,DE VERIFICAT manual
Kia,Niro,1.6 GDI PHEV 183,2986,1594.0,69.0,19.0,0.0,11.6,0.0,OK
Kia,Sportage,1.6 T-GDI Hybrid 215 2WD,2160,1649.0,118.0,141.0,15.5,11.9,-11.3,DE VERIFICAT manual
Kia,Sportage,1.6 T-GDI Hybrid 215 4WD,2160,1649.0,118.0,141.0,15.5,11.9,-3.5,DE VERIFICAT manual
Kia,Sportage,1.6 T-GDI PHEV 265 4WD,8778,1905.0,118.0,27.0,0.0,11.9,0.0,OK
Kia,Sorento,1.6 T-GDI Hybrid 215 2WD,48,1959.0,118.0,160.0,7.5,11.9,-6.9,DE VERIFICAT manual
Kia,Sorento,1.6 T-GDI PHEV 253 4WD,3667,2105.0,118.0,37.0,-0.3,11.9,-2.7,OK
Kia,XCeed,1.6 GDI PHEV 141,543,1594.0,77.0,32.0,-0.2,0.0,-9.4,DE VERIFICAT manual
Kia,Ceed SW,1.6 GDI PHEV 141,0,,,,,,,NEGĂSIT în EEA (model non-UE sau denumire diferită)
Ford,Kuga,2.5 FHEV 183 FWD,2700,1837.0,111.0,59.0,1.2,0.9,120.3,DE VERIFICAT manual
Ford,Kuga,2.5 FHEV 183 AWD,2700,1837.0,111.0,59.0,-2.8,0.9,137.3,DE VERIFICAT manual
Ford,Kuga,2.5 PHEV 243,29813,1859.0,111.0,21.0,0.0,0.9,0.0,OK
Ford,Explorer,3.0 PHEV 457 AWD,90,2541.0,267.0,71.0,-3.0,0.0,0.0,OK
Ford,Puma,1.0 EcoBoost mHEV 125,1691,1353.0,92.0,129.0,-5.4,0.0,-3.9,OK
Ford,Focus,1.0 EcoBoost mHEV 155,386,1413.0,114.0,119.0,-5.1,0.0,2.5,OK
VW,Golf,1.5 eHybrid 204,8024,1662.0,130.0,7.0,-2.5,-15.4,0.0,OK
VW,Golf,GTE 1.5 272,8024,1662.0,130.0,7.0,-0.7,0.0,0.0,OK
VW,Passat,1.5 eHybrid 204,15092,1849.0,110.0,9.0,-3.7,0.0,0.0,OK
VW,Passat,1.5 eHybrid 272,15092,1849.0,110.0,9.0,-2.9,18.2,0.0,OK
VW,Tiguan,1.5 eHybrid 204,22811,1866.0,110.0,10.0,-3.0,0.0,0.0,OK
VW,Tiguan,1.5 eHybrid 272,22811,1866.0,110.0,10.0,-1.9,18.2,0.0,OK
VW,Touareg,3.0 eHybrid 381 4MOTION,1685,2470.0,250.0,50.0,-2.6,0.0,0.0,OK
VW,Touareg,3.0 R eHybrid 462 4MOTION,1685,2470.0,250.0,50.0,-0.2,0.0,0.0,OK
VW,Arteon,1.4 eHybrid 218,15,1813.0,115.0,27.0,-4.4,0.0,-3.7,OK
VW,Multivan,1.4 eHybrid 218,6883,2341.0,130.0,20.0,0.0,-15.4,0.0,OK
Skoda,Octavia,1.4 iV PHEV 204,931,1387.0,110.0,113.0,0.1,0.0,0.0,OK
Skoda,Superb,1.5 iV PHEV 204,11773,1854.0,110.0,9.0,-3.7,0.0,0.0,OK
Skoda,Kodiaq,1.5 iV PHEV 204,23205,1917.0,110.0,11.0,-1.5,0.0,0.0,OK
Seat,Leon,1.5 e-Hybrid 204,5028,1708.0,110.0,9.0,-5.5,0.0,0.0,OK
Cupra,Leon,1.5 e-Hybrid 272 VZ,17302,1720.0,110.0,9.0,-3.7,18.2,0.0,OK
Cupra,Formentor,1.5 e-Hybrid 272 VZ,25027,1717.0,110.0,10.0,-0.5,18.2,0.0,OK
Cupra,Terramar,1.5 e-Hybrid 272 VZ,20835,1904.0,110.0,10.0,-2.5,18.2,0.0,OK
Audi,A3,40 TFSI e 204,19641,1675.0,110.0,8.0,-3.9,0.0,0.0,OK
Audi,A3,45 TFSI e 272,19641,1675.0,110.0,8.0,-2.1,18.2,0.0,OK
Audi,Q3,45 TFSI e 245,3275,1900.0,130.0,44.0,-6.1,-15.4,2.3,DE VERIFICAT manual
Audi,A5,e-hybrid quattro 299,7862,2160.0,185.0,59.0,0.0,0.0,0.0,OK
Audi,Q5,e-hybrid quattro 299,5811,2225.0,185.0,66.0,-3.6,0.0,-10.6,DE VERIFICAT manual
Audi,A6,50 TFSI e quattro 299,4217,2225.0,185.0,59.0,-6.3,0.0,-10.2,DE VERIFICAT manual
Audi,A7,55 TFSI e quattro 367,379,2140.0,195.0,35.0,0.0,-5.1,-2.9,OK
Audi,Q7,55 TFSI e quattro 394,4258,2460.0,250.0,31.0,1.4,0.0,0.0,OK
Audi,Q8,55 TFSI e quattro 394,6159,2490.0,250.0,34.0,0.6,0.0,0.0,OK
Audi,A8,60 TFSI e quattro 462,662,2385.0,250.0,43.0,0.0,0.0,-2.3,OK
BMW,Seria 2 Active Tourer,225e xDrive,3017,1900.0,100.0,20.0,-2.9,10.0,0.0,OK
